,slp,industry,gas_to_electricity_public,aggregated,manufacturing_sector,hospitality_sector,retail_sector,real_wages,price_industry,price_households,solar,temperature,index,time,year,month,weekday,weekday_num,monday,friday,weekend,christmas_period,holiday,long_weekend
2018-12-08,1.5938525380000002,1.3614797119811515,0.16918071401884857,1.2508477688397872,93.4,106.6,123.5,114.0,105.9,92.0,2.5023495835050602e-11,279.76640148432983,2018-12-08,706.0,2018,12,Saturday,5,0,0,1,0,0,0
2018-12-09,1.660556715,1.3936384967984337,0.17959929820156628,1.2876599842853382,93.4,106.6,123.5,114.0,105.9,92.0,1.813631574848235e-11,279.78367375166584,2018-12-09,707.0,2018,12,Sunday,6,0,0,1,0,0,0
2018-12-10,1.921823802,1.6046055792858704,0.39333614971412945,1.5661021917317612,93.4,106.6,123.5,114.0,105.9,92.0,3.362673093086695e-11,276.907715149832,2018-12-10,708.0,2018,12,Monday,0,1,0,0,0,0,0
2018-12-11,2.003759186,1.5944286131860896,0.6155708918139102,1.7732064318825296,93.4,106.6,123.5,114.0,105.9,92.0,3.053222730397053e-11,275.81545370819794,2018-12-11,709.0,2018,12,Tuesday,1,0,0,0,0,0,0
2018-12-12,2.0875286340000003,1.5208750674241722,0.7622112095758274,1.9385215328296375,93.4,106.6,123.5,114.0,105.9,92.0,2.7987073310678403e-11,274.65020726264885,2018-12-12,710.0,2018,12,Wednesday,2,0,0,0,0,0,0
2018-12-13,2.228943102,1.5861568514842834,0.7300779905157168,2.1211894470709334,93.4,106.6,123.5,114.0,105.9,92.0,3.206874335452754e-11,273.2250705237681,2018-12-13,711.0,2018,12,Thursday,3,0,0,0,0,0,0
2018-12-14,2.319051613,1.5383822170065202,0.7589347769934799,2.2272034232151823,93.4,106.6,123.5,114.0,105.9,92.0,2.755793243613308e-11,272.5270346130926,2018-12-14,712.0,2018,12,Friday,4,0,1,0,0,0,0
2018-12-15,2.40801336,1.4316734283025243,0.5553655876974759,2.264173055044508,93.4,106.6,123.5,114.0,105.9,92.0,3.500192366643102e-11,271.9089574448733,2018-12-15,713.0,2018,12,Saturday,5,0,0,1,0,0,0
2018-12-16,2.400605204,1.5116323905744018,0.46620540942559835,2.289923285216294,93.4,106.6,123.5,114.0,105.9,92.0,1.7404108234275637e-11,272.1228759526853,2018-12-16,714.0,2018,12,Sunday,6,0,0,1,0,0,0
2018-12-17,2.206010863,1.5153239548986912,0.696078064101309,2.164360605023432,93.4,106.6,123.5,114.0,105.9,92.0,1.9710267225155074e-11,275.2746318111206,2018-12-17,715.0,2018,12,Monday,0,1,0,0,0,0,0
2018-12-18,2.069077546,1.4859142754880361,0.6501639065119642,1.9928101861572847,93.4,106.6,123.5,114.0,105.9,92.0,3.2677707613386954e-11,276.26572144029547,2018-12-18,716.0,2018,12,Tuesday,1,0,0,0,0,0,0
2018-12-19,2.034573661,1.4957574442679347,0.5868342437320654,1.88093730610086,93.4,106.6,123.5,114.0,105.9,92.0,1.5074934057254137e-11,276.44510480422736,2018-12-19,717.0,2018,12,Wednesday,2,0,0,0,0,0,0
2018-12-20,1.871180647,1.3617823864060656,0.5356872225939345,1.7122719630517227,93.4,106.6,123.5,114.0,105.9,92.0,2.2361929504434838e-11,278.13791347064813,2018-12-20,718.0,2018,12,Thursday,3,0,0,0,0,0,0
2018-12-21,1.6623485120000001,1.2986347062186732,0.35998938078132714,1.4421070902867175,93.4,106.6,123.5,114.0,105.9,92.0,7.487042319696907e-12,280.82165025493015,2018-12-21,719.0,2018,12,Friday,4,0,1,0,0,0,0
2018-12-22,1.5684364510000002,1.20245086137865,0.2952537946213497,1.2640261537898145,93.4,106.6,123.5,114.0,105.9,92.0,2.0764071867240067e-11,281.2078106969202,2018-12-22,720.0,2018,12,Saturday,5,0,0,1,0,0,0
2018-12-23,1.5934461420000001,1.1818492546858035,0.2736699433141962,1.2797856931383498,93.4,106.6,123.5,114.0,105.9,92.0,1.4248450934496942e-11,280.04001614147745,2018-12-23,721.0,2018,12,Sunday,6,0,0,1,0,0,0
2018-12-24,1.8552141910000002,1.2299744317270889,0.2856145892729109,1.5727902593861804,93.4,106.6,123.5,114.0,105.9,92.0,2.223145925701142e-11,276.60817377324213,2018-12-24,722.0,2018,12,Monday,0,1,0,0,1,0,1
2018-12-25,1.952260531,1.265305561306192,0.24506179769380781,1.8020534824599392,93.4,106.6,123.5,114.0,105.9,92.0,3.00775773366572e-11,275.3166508950613,2018-12-25,723.0,2018,12,Tuesday,1,0,0,0,1,1,0
2018-12-26,2.0373982440000002,1.2865243547086935,0.3053400972913064,1.9579428514734905,93.4,106.6,123.5,114.0,105.9,92.0,2.2356450678141472e-11,274.55083420808006,2018-12-26,724.0,2018,12,Wednesday,2,0,0,0,1,1,0
2018-12-27,2.065180005,1.2997842909453017,0.4718313840546983,2.006582643953792,93.4,106.6,123.5,114.0,105.9,92.0,3.021795673404044e-11,274.987230736865,2018-12-27,725.0,2018,12,Thursday,3,0,0,0,1,0,0
2018-12-28,2.0538197140000003,1.2683734227785903,0.4988153802214094,2.0068988187332146,93.4,106.6,123.5,114.0,105.9,92.0,3.389524059484644e-11,274.8633272792467,2018-12-28,726.0,2018,12,Friday,4,0,1,0,1,0,0
2018-12-29,1.940178216,1.2266844842846585,0.37355513471534135,1.8728667500703355,93.4,106.6,123.5,114.0,105.9,92.0,1.554225346298419e-11,276.1592899697715,2018-12-29,727.0,2018,12,Saturday,5,0,0,1,1,0,0
2018-12-30,1.8130233400000002,1.2212717666694974,0.30239822733050264,1.6794823776714052,93.4,106.6,123.5,114.0,105.9,92.0,1.7807234099720423e-11,278.5055689773873,2018-12-30,728.0,2018,12,Sunday,6,0,0,1,1,0,0
2018-12-31,1.7109726950000002,1.1754573760667961,0.29658139993320376,1.5738676549070283,93.4,106.6,123.5,114.0,105.9,92.0,9.386081067910862e-12,279.2177725265849,2018-12-31,729.0,2018,12,Monday,0,1,0,0,1,0,1
2019-01-01,0.696229906,1.2901440438840677,0.21062790411593238,1.5449916601180147,98.4,86.0,102.8,102.8,104.1,94.6,1.5723966011298706e-11,278.64539803869576,2019-01-01,730.0,2019,1,Tuesday,1,0,0,0,0,1,0
2019-01-02,2.140348303,1.616039190204606,0.3333514047953941,1.7881767352664766,98.4,86.0,102.8,102.8,104.1,94.6,3.9029203976132485e-11,275.01051788660124,2019-01-02,731.0,2019,1,Wednesday,2,0,0,0,0,0,0
2019-01-03,2.3020124920000002,1.5097612965673695,0.6077644254326303,2.0691907653406654,98.4,86.0,102.8,102.8,104.1,94.6,3.222579912566812e-11,272.7848204959556,2019-01-03,732.0,2019,1,Thursday,3,0,0,0,0,0,0
2019-01-04,2.200122399,1.4612990086963853,0.5155928403036149,2.0846157518401025,98.4,86.0,102.8,102.8,104.1,94.6,1.761160342100854e-11,274.32779701326376,2019-01-04,733.0,2019,1,Friday,4,0,1,0,0,0,0
2019-01-05,1.9752766970000002,1.3322146219208384,0.40363900307916173,1.849760652418023,98.4,86.0,102.8,102.8,104.1,94.6,8.146266416317327e-12,277.39575713166465,2019-01-05,734.0,2019,1,Saturday,5,0,0,1,0,0,0
2019-01-06,1.9526438920000002,1.2907251406294034,0.47895832937059646,1.7820789517702742,98.4,86.0,102.8,102.8,104.1,94.6,1.1722842805383657e-11,276.8567000585834,2019-01-06,735.0,2019,1,Sunday,6,0,0,1,0,1,0
2019-01-07,1.9813416380000002,1.4450395044017883,0.5872805715982118,1.7766428770644727,98.4,86.0,102.8,102.8,104.1,94.6,1.3667971814711244e-11,276.958987756262,2019-01-07,736.0,2019,1,Monday,0,1,0,0,0,0,0
2019-01-08,2.046639001,1.611150608837746,0.38758813616225374,1.7303031979923063,98.4,86.0,102.8,102.8,104.1,94.6,2.394113472772319e-11,277.42132270083647,2019-01-08,737.0,2019,1,Tuesday,1,0,0,0,0,0,0
2019-01-09,2.2511675340000004,1.6846624533060868,0.48099481669391364,1.9071046799240905,98.4,86.0,102.8,102.8,104.1,94.6,2.8016768963942134e-11,274.6573935934919,2019-01-09,738.0,2019,1,Wednesday,2,0,0,0,0,0,0
2019-01-10,2.337366362,1.599199514790074,0.7550455222099262,2.103076260731241,98.4,86.0,102.8,102.8,104.1,94.6,2.8200609200140394e-11,273.06455012166333,2019-01-10,739.0,2019,1,Thursday,3,0,0,0,0,0,0
