,consumption_small,consumption_industry,consumption_power,heating_profiles,manufacturing_idx,hospitality_idx,retail_idx,wages,price_industry_idx,price_households_idx,solar_radiation,temperature,time,month
2021-02-28,59.641206483000005,43.145402498014,16.402356732986,53.19350082436257,93.9,31.8,97.2,100.7,99.9,99.1,7.416435683360945e-11,275.47699222439803,49.0,2
2021-03-31,52.421775479,44.057566992078,15.805609588922003,49.43208529712512,112.2,38.3,125.9,100.7,97.2,99.3,1.2775503761654192e-10,278.30466223771754,50.0,3
2021-04-30,41.655740159000004,39.569258859676,13.060415448324001,41.90617890573753,97.2,36.4,112.2,107.5,99.1,99.2,1.8975771481165328e-10,279.4731897806711,51.0,4
2021-05-31,26.796027874000004,36.478587199597996,8.469675942402,26.253124345895795,93.0,45.8,114.3,107.5,106.6,99.3,2.0684318714740769e-10,284.0538301640828,52.0,5
2021-06-30,8.094122029000001,30.389025387616,8.705209186383998,7.221682422837623,101.7,70.7,123.2,107.5,114.6,99.4,2.3868022199370183e-10,292.3493125673133,53.0,6
2021-07-31,7.65933459,31.179044510522,7.255047748478,7.706220973342303,97.4,86.3,119.3,101.7,127.6,99.6,2.0110915663490682e-10,291.552952692793,54.0,7
2021-08-31,9.521913847000002,30.540983870814,5.354264561186,9.798923982626473,86.9,90.6,113.0,101.7,143.5,100.0,1.686190957781164e-10,289.748545437283,55.0,8
2021-09-30,12.328618781000003,30.557716622014,7.637488609986,11.623372099964095,99.6,91.6,113.3,101.7,166.7,100.5,1.4004985203068648e-10,288.60378024490745,56.0,9
2021-10-31,31.602674889000003,36.74467312954,8.45905398946,29.431221240827917,97.8,91.1,120.7,114.0,222.8,102.1,8.031183199427584e-11,283.0590349516354,57.0,10
2021-11-30,50.074287768000005,41.80906650118,14.681175633820002,46.75284275341619,104.8,75.4,130.5,114.0,241.3,103.9,3.610401866367378e-11,278.13500819416004,58.0,11
2021-12-31,63.00447822600001,42.819762458428,16.214061304572,57.61914049258257,95.2,65.3,136.5,114.0,276.3,106.4,2.3006767097811543e-11,276.21192690672905,59.0,12
2022-01-31,63.873912364,44.287226777232,16.400278675768,56.64674147018005,89.1,66.5,109.5,100.0,286.0,130.7,3.224582518056212e-11,276.10787455235794,60.0,1
2022-02-28,52.023199772,38.99285011639,11.433688313609998,44.985821760984386,95.0,68.8,107.4,100.0,294.6,134.5,6.52617786091954e-11,277.949677142033,61.0,2
2022-03-31,46.03772425300001,40.261419925224,13.571814190776,46.734228400010046,106.6,80.6,123.2,100.0,298.2,140.8,1.4882755814080055e-10,278.80261512459975,62.0,3
2022-04-30,33.608164517999995,34.27638167107696,9.101321946923036,35.59084720747892,90.9,90.1,118.9,103.6,356.7,146.3,1.7863644062436575e-10,281.2930377720319,63.0,4
2022-05-31,13.179542803,29.802198094584,7.4948315514159995,14.44209908676203,98.6,105.5,117.7,103.6,331.2,154.1,2.2836630397051408e-10,287.9682943477806,64.0,5
2022-06-30,7.982617278000001,26.891923378428,6.390720112571999,8.12046713034654,98.6,104.5,112.5,103.6,323.9,159.7,2.511728600615277e-10,291.720183676371,65.0,6
2022-07-31,6.580865698,25.482354555656,5.818073543343999,7.145399050154808,92.6,104.9,114.3,97.0,376.1,174.4,2.3582372342276935e-10,292.6627488616404,66.0,7
2022-08-31,5.741773516999999,23.123822078436,6.326960061564001,6.375971740765811,91.8,102.2,111.3,97.0,523.6,183.8,2.083453111938655e-10,293.8029560669068,67.0,8
2022-09-30,12.161933473,25.734720089948,6.086180980051999,17.23489709794458,104.4,104.7,113.3,97.0,608.2,196.1,1.31866670756604e-10,286.83577996517056,68.0,9
2022-10-31,18.204579248,26.807059046402,8.355893073598,19.0972027898261,94.0,102.4,112.9,109.8,559.6,214.2,8.53957620787567e-11,285.9963485361537,69.0,10
2022-11-30,35.519538051,30.875285706906002,10.312347972093997,39.49703096315994,105.5,86.8,124.1,109.8,369.3,220.5,4.555369697774167e-11,279.9809765740478,70.0,11
2022-12-31,57.985194336,34.441686706317995,14.913642208682,60.252860751329976,93.1,81.6,127.5,109.8,377.0,134.2,2.5967057496144575e-11,275.3406210966698,71.0,12
