time,solar [J/m^2]
2018-04-09,776202.3317804015
2018-04-10,701956.4330208487
2018-04-11,641625.3483596462
2018-04-12,650009.3736174227
2018-04-13,453617.29658588715
2018-04-14,635537.2718534609
2018-04-15,674362.1675508518
2018-04-16,600833.4305876525
2018-04-17,830228.8804620522
2018-04-18,937181.8626344277
2018-04-19,955226.0447922285
2018-04-20,956488.1989403999
2018-04-21,915707.3082045577
2018-04-22,876155.3329250437
2018-04-23,715406.3299009412
2018-04-24,559334.9677480282
2018-04-25,695752.3266955375
2018-04-26,746998.1931811593
2018-04-27,869129.0427057188
2018-04-28,758831.2407959489
2018-04-29,865828.0606386167
2018-04-30,775997.0277483581
2018-05-01,647966.5258036136
2018-05-02,812912.1742972442
2018-05-03,784833.4901591372
2018-05-04,923122.2200851823
2018-05-05,1004492.1999220633
2018-05-06,1066604.0350003343
2018-05-07,1079731.472566439
2018-05-08,1074593.7774257336
2018-05-09,927981.2022198633
2018-05-10,742676.4220507499
2018-05-11,616192.1099464704
2018-05-12,861751.4751368606
2018-05-13,799617.298148783
2018-05-14,807987.4276490364
2018-05-15,883030.9322349592
2018-05-16,698679.0352179885
2018-05-17,819666.2265803629
2018-05-18,861455.600330872
2018-05-19,807764.2835057363
2018-05-20,954459.7476432553
2018-05-21,1077588.512404605
2018-05-22,955043.2441553081
2018-05-23,851128.6272880286
2018-05-24,759842.0718112007
2018-05-25,899607.3502875034
2018-05-26,1011469.6093442143
2018-05-27,928307.1391311699
2018-05-28,1021833.9276609845
2018-05-29,977328.5985638504
2018-05-30,975118.397572524
2018-05-31,945979.7966876904
2018-06-01,754016.8463329371
2018-06-02,704064.9264158071
2018-06-03,858468.0892596309
2018-06-04,927645.5339886975
2018-06-05,929060.6642066232
2018-06-06,1056310.7100145372
2018-06-07,931931.100541579
2018-06-08,890950.4530497859
2018-06-09,907127.2233630767
2018-06-10,792789.1340414576
2018-06-11,828292.4153054742
2018-06-12,586121.3753213609
2018-06-13,490330.1182084638
2018-06-14,808325.4565169223
2018-06-15,717685.4602284799
2018-06-16,789404.1009922415
2018-06-17,768662.6737528057
2018-06-18,572003.1866669451
2018-06-19,585769.6620266618
2018-06-20,903608.9555694304
2018-06-21,842149.9368111956
2018-06-22,743543.5287977153
2018-06-23,554525.1482479237
2018-06-24,513212.04466714564
2018-06-25,598915.6798178187
2018-06-26,816591.8875791928
2018-06-27,1018913.779228021
2018-06-28,837838.6847927315
2018-06-29,1015249.5420094877
2018-06-30,1125965.6918939643
