,0
2017-02-22,0.05630325
2017-02-23,0.0651872499999999
2017-02-24,0.0691169999999999
2017-02-25,0.06177275
2017-02-26,0.05448425
2017-02-27,0.05459675
2017-02-28,0.069532
2017-03-01,0.07535975
2017-03-02,0.05880775
2017-03-03,0.081755
2017-03-04,0.0558435
2017-03-05,0.04377525
2017-03-06,0.0984877499999999
2017-03-07,0.13841625
2017-03-08,0.09293675
2017-03-09,0.0925555
2017-03-10,0.07528175
2017-03-11,0.0723704999999999
2017-03-12,0.0484995
2017-03-13,0.07862975
2017-03-14,0.0859914999999999
2017-03-15,0.0730092499999999
2017-03-16,0.0717812499999999
2017-03-17,0.050561
2017-03-18,0.04000675
2017-03-19,0.04002725
2017-03-20,0.0469324999999999
2017-03-21,0.0638799999999999
2017-03-22,0.0860605
2017-03-23,0.0928245
2017-03-24,0.08909925
2017-03-25,0.0573755
2017-03-26,0.0455035
2017-03-27,0.08153275
2017-03-28,0.0801602499999999
2017-03-29,0.04963975
2017-03-30,0.0603874999999999
2017-03-31,0.06367075
2017-04-01,0.04965025
2017-04-02,0.0467962499999999
2017-04-03,0.07716175
2017-04-04,0.08521425
2017-04-05,0.06654875
2017-04-06,0.062981
2017-04-07,0.0689334999999999
2017-04-08,0.0693637499999999
2017-04-09,0.0426777499999999
2017-04-10,0.054053
2017-04-11,0.065522
2017-04-12,0.048032
2017-04-13,0.05193
2017-04-14,0.04447
2017-04-15,0.0360574999999999
2017-04-16,0.0320095
2017-04-17,0.0384155
2017-04-18,0.0695165
2017-04-19,0.077289
2017-04-20,0.0794675
2017-04-21,0.0541864999999999
2017-04-22,0.0430532499999999
2017-04-23,0.04136175
2017-04-24,0.05353975
2017-04-25,0.0701425
2017-04-26,0.1011355
2017-04-27,0.0824147499999999
2017-04-28,0.0858419999999999
2017-04-29,0.051733
2017-04-30,0.03815875
2017-05-01,0.0359165
2017-05-02,0.05469775
2017-05-03,0.06958375
2017-05-04,0.0748899999999999
2017-05-05,0.0810789999999999
2017-05-06,0.0508832499999999
2017-05-07,0.04874625
2017-05-08,0.0704137499999999
2017-05-09,0.0812015
2017-05-10,0.0757742499999999
